id,latitude,longitude
30037862,13.0109201,80.2170576
30037863,13.012363,80.2210838
30037866,13.0154974,80.2253737
30037875,13.0280247,80.2353917
30038751,13.0222375,80.2063264
30038752,13.0197889,80.2062735
30038753,13.0190019,80.2060881
30051794,13.018654,80.2599022
30051796,13.0222409,80.259261
30237417,13.0187071,80.2671583
30268464,13.0091943,80.2286092
30268466,13.0067745,80.2476214
30268467,12.9877944,80.2513358
243051152,13.0067719,80.2473989
243051703,13.0067735,80.2516348
243051706,13.0066002,80.2544176
243051708,13.0066762,80.2572722
243051711,13.0082519,80.2589687
243051718,13.0187137,80.2612947
243064541,13.0190482,80.2615779
243064543,13.0202745,80.2626659
243064547,13.0241481,80.2644376
243323043,13.0250713,80.2678293
243325994,12.9854194,80.2236278
243326004,12.9760873,80.2213325
246824741,13.0181555,80.2410929
246824743,13.0241308,80.2430446
246825423,13.0186803,80.2608484
246825424,13.0186354,80.2581862
246825428,13.0200171,80.2547563
246825431,13.0205644,80.2531005
246825948,13.0202472,80.2630135
246825949,13.0189281,80.2627808
246827325,13.022328,80.2602598
246827326,13.0218341,80.2619612
246866333,12.9807054,80.2592827
246866335,12.9788805,80.259037
246866969,12.9812939,80.2434352
246867074,12.9863017,80.2432971
247074863,13.0260918,80.2313679
247713922,13.0237236,80.2276579
247714021,13.0158926,80.215384
247714023,13.01424,80.2143479
247714027,13.0085663,80.2103263
247714030,13.009488,80.2110096
247714167,13.0129826,80.2075337
247714170,13.0128439,80.2086446
247714174,13.0130435,80.2108518
247714176,13.0125655,80.2117795
247714177,13.0118396,80.2128717
247714535,13.0104614,80.2163283
247714547,13.0097082,80.2150302
247714655,13.0074477,80.2128797
247714661,13.0052438,80.2125876
247714662,13.0052297,80.2126552
247714665,13.0037866,80.2120421
247714667,13.0025385,80.2121142
247714672,12.9972581,80.2164696
248700536,13.0303179,80.2291536
249112798,12.9914386,80.2196271
249493597,13.0092589,80.2590552
249493598,13.0097576,80.2488098
249493600,13.0067416,80.2574993
249493601,13.0085671,80.2545017
249493602,13.0094942,80.2545417
249493611,13.0067192,80.2544138
249493614,13.0069825,80.2484212
249493615,13.0067672,80.2483802
249493616,13.0104792,80.2488856
249493617,13.0096136,80.2515709
249497584,13.0079023,80.2485467
249497585,13.0076457,80.2544436
249497587,13.0076289,80.2571153
249497592,13.0093316,80.2580029
249497593,13.0084174,80.2578652
249497598,13.0087548,80.2502472
249497599,13.0078359,80.2502004
249497600,13.009668,80.2502829
249497602,13.0091332,80.248722
249497603,13.0090432,80.2502629
249497604,13.0085486,80.2486514
249497605,13.0084631,80.2502396
249497606,13.006868,80.2514706
249497607,13.0077818,80.2515048
249497608,13.0086779,80.2515361
249497609,13.0111942,80.2528206
249497610,13.0068127,80.2574438
249497618,13.0092639,80.2589556
249497619,13.0084536,80.2569106
249497620,13.0103885,80.2522142
249497628,13.0095649,80.2526432
249497629,13.0095304,80.2536394
249497633,13.0106757,80.2533107
249497655,13.0064867,80.2526029
249497656,13.0065135,80.2546721
249497661,13.0067676,80.2577905
249497688,13.0087027,80.2591946
249497690,13.0079965,80.2592592
249497692,13.007651,80.2594277
249497694,13.0073191,80.2591237
249497698,13.0066539,80.2577917
249497699,13.0063909,80.2575913
249497703,13.0075262,80.258616
249497710,13.0073297,80.2597313
249497716,13.0065529,80.2574878
249497865,13.0125505,80.252595
249497866,13.0119081,80.2534076
249497872,13.0117976,80.2519922
249497874,13.0139569,80.2489637
249497877,13.0134549,80.2491952
250363446,13.0279203,80.2269157
250363496,13.0301835,80.2259088
250363497,13.0299075,80.2274105
250363498,13.0286918,80.2255814
250363499,13.0284037,80.2271665
250363500,13.0283147,80.2279158
250363513,13.0286124,80.225965
250363515,13.0301021,80.2263279
250363516,13.0289763,80.2260559
250363518,13.0294015,80.2261726
250363519,13.0298222,80.2262754
250363522,13.0297526,80.2266101
250363523,13.0293366,80.2265379
250363524,13.0297055,80.2269544
250363525,13.029283,80.2268707
250363542,13.0263539,80.2297539
250363545,13.0289781,80.2301552
250363552,13.0278774,80.2278808
250363577,13.027009,80.2278012
250363580,13.0273241,80.2278279
250363586,13.0283521,80.2301954
250363589,13.0296883,80.2285766
250363592,13.029133,80.2285638
250363595,13.0296388,80.2291233
250363597,13.0296458,80.2288621
250363603,13.0292406,80.2291055
250363605,13.0303219,80.2288912
250363608,13.0291866,80.2288414
251172939,12.9820681,80.2322191
251172944,12.9817389,80.2306639
251296646,12.9812803,80.2401484
252391738,13.0202554,80.2394905
252391739,13.0195987,80.241534
256029411,13.0102397,80.2098674
256029471,13.0101501,80.2088394
256029482,13.011694,80.2098498
256029493,13.0116145,80.208761
256029528,13.0100517,80.2072562
256029529,13.0128505,80.2078952
256029530,13.0115576,80.2079888
256029531,13.0101186,80.2080607
256029539,13.0116358,80.2104888
256029542,13.0099347,80.2104015
256029543,13.0110754,80.2113048
256029544,13.0146379,80.2113371
256029549,13.0113837,80.2108834
256029755,13.019452,80.2194888
256029763,13.0195325,80.2180866
256029764,13.0196016,80.2176591
256029776,13.0196938,80.2173249
256031614,13.0201181,80.2158837
256035491,13.0195067,80.2244285
256035543,13.0258654,80.2251976
256035544,13.0258714,80.2247167
256035547,13.0255045,80.2267784
256035548,13.0254672,80.2272869
256035553,13.0258026,80.2280321
256035554,13.0255826,80.2273575
256035558,13.0255894,80.2280202
256035561,13.0247164,80.2289552
256035574,13.0187375,80.2301814
256035577,13.0212695,80.228568
256035578,13.0192447,80.2302987
256035580,13.0150158,80.2260049
256035584,13.0120189,80.2215754
256039826,13.0121486,80.2210646
256039827,13.0101861,80.2149099
256039832,13.0107529,80.2153943
256039853,13.0076834,80.2057657
256039892,13.008284,80.2038377
256119277,13.0077142,80.2070545
256124380,13.0077567,80.204415
256124399,13.0075262,80.204086
257430009,13.0050009,80.2484297
257430010,13.0043858,80.2484385
257430011,13.0039005,80.2484525
257430014,12.9996014,80.2494288
257430016,12.9958285,80.2503963
257430019,13.0012436,80.2564557
257430022,12.9969275,80.2558089
257430024,12.9931604,80.2560033
257430025,12.990337,80.2559747
257430036,13.0080965,80.2641297
257430044,13.0020684,80.267948
257430045,13.0003144,80.2667645
257430047,12.9956708,80.2676853
257430048,12.9960066,80.26474
257430049,12.9963276,80.2619228
257430050,12.9966031,80.2593081
257430051,12.9968487,80.256614
257430052,13.0058074,80.2516772
257430053,13.0050258,80.2516663
257430060,13.0042544,80.2516718
257430061,13.0026108,80.2519261
257430062,13.0019371,80.25201
257430063,13.0013222,80.2520206
257430065,12.9986722,80.2514273
